Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp,Clicked on Ad
62.26,32,69481.85,172.83,Decentralized real-time circuit,Lisafort,Male,Svalbard & Jan Mayen Islands,6/9/2016 21:43,0
41.73,31,61840.26,207.17,Optional full-range projection,West Angelabury,Male,Singapore,1/16/2016 17:56,0
44.4,30,57877.15,172.83,Total 5thgeneration standardization,Reyesfurt,Female,Guadeloupe,6/29/2016 10:50,0
59.88,28,56180.93,207.17,Balanced empowering success,New Michael,Female,Zambia,6/21/2016 14:32,0
49.21,30,54324.73,201.58,Total 5thgeneration standardization,West Richard,Female,Qatar,7/21/2016 10:54,1
51.3,26,51463.17,131.68,Focused multi-state workforce,Port Maria,Female,Cameroon,5/15/2016 13:18,0
66.08,43,73538.09,136.4,Optimized upward-trending productivity,Port Jeffrey,Male,Turkey,4/3/2016 21:13,1
36.08,26,74903.41,228.78,Programmable uniform website,East Kevinbury,Male,French Guiana,3/11/2016 6:49,0
46.14,33,43974.49,196.77,Customizable tangible hierarchy,Lake Annashire,Male,Vanuatu,3/24/2016 6:36,0
51.65,51,74535.94,188.56,Function-based incremental standardization,Edwardmouth,Female,Cameroon,1/31/2016 5:12,0
47.64,29,53431.35,200.71,Digitized content-based circuit,East Carlos,Female,Burundi,3/9/2016 0:41,0
65.07,34,34191.23,187.09,Team-oriented transitional methodology,Port Robin,Male,Equatorial Guinea,4/5/2016 18:02,1
55.6,24,52252.91,167.22,Configurable disintermediate throughput,North Daniel,Female,Guinea,6/11/2016 6:47,1
62.26,25,50671.6,138.71,Intuitive radical forecast,Nelsonfurt,Male,Hong Kong,3/18/2016 13:00,0
78.84,27,69646.35,239.32,Front-line bandwidth-monitored capacity,Johnstad,Female,Spain,5/21/2016 1:36,0
56.39,40,40468.53,140.46,Inverse zero-defect capability,North Randy,Female,Uganda,1/3/2016 16:01,1
54.43,39,56180.93,124.44,Intuitive exuding service-desk,Vanessaview,Female,Saint Pierre and Miquelon,1/3/2016 7:13,0
60.23,43,31092.93,234.26,Optimized upward-trending productivity,Yangside,Male,Northern Mariana Islands,4/3/2016 21:13,1
41.73,31,61840.26,207.17,User-friendly client-server instruction set,New Michael,Male,Singapore,6/21/2016 14:32,0
89.05,38,57868.44,170.13,Synergized clear-thinking protocol,Stewartbury,Male,Western Sahara,1/15/2016 19:40,1
56.39,46,54286.1,193.29,Configurable tertiary capability,Richardsonshire,Female,Mexico,2/28/2016 23:10,1
39.96,45,59886.58,174.88,Secured 24hour policy,Harmonhaven,Female,Rwanda,3/5/2016 12:03,1
59.22,28,53058.91,217.37,Total directional approach,New Brandy,Female,Liechtenstein,5/30/2016 18:08,0
47.74,33,68094.85,188.56,Extended context-sensitive monitoring,New Thomas,Male,Vanuatu,4/18/2016 15:54,0
86.06,35,73889.99,158.29,De-engineered attitude-oriented projection,South Adamhaven,Male,Bolivia,3/18/2016 13:00,0
55.6,30,58677.69,184.88,Proactive context-sensitive project,North Daniel,Female,Guinea,5/6/2016 21:07,1
61.22,25,50506.44,194.95,Automated mobile model,West Aprilport,Female,Saint Pierre and Miquelon,1/3/2016 7:13,0
60.53,33,68094.85,162.03,Synchronized multi-tasking ability,Johnsontown,Female,Indonesia,6/10/2016 11:31,0
90.97,31,38817.4,171.23,Automated mobile model,North Johnside,Female,Angola,6/10/2016 3:56,0
41.73,28,71222.4,217.37,Centralized logistical secured line,Hernandezfort,Female,Gabon,2/15/2016 16:52,0
74.59,27,36884.23,214.42,Business-focused holistic benchmark,Garciatown,Female,Spain,7/3/2016 4:11,0
47.48,29,57545.56,216.49,Mandatory coherent groupware,Christinetown,Female,Burundi,1/16/2016 16:40,0
40.47,35,54429.17,236.87,Optional multi-state hardware,Port Cassie,Female,Saint Vincent and the Grenadines,6/21/2016 3:14,1
54.88,21,61009.1,157.04,Function-based context-sensitive secured line,South Rebecca,Female,Hungary,1/17/2016 15:10,0
82.07,41,57846.68,187.76,Progressive asynchronous adapter,West Lisa,Male,Honduras,5/13/2016 11:57,1
59.22,40,40468.53,140.46,Networked responsive application,Port Destiny,Female,Denmark,7/1/2016 1:12,1
82.07,22,51363.16,180.47,Profit-focused secondary portal,North Isabellaville,Male,Tajikistan,5/31/2016 23:32,0
57.24,33,49101.67,120.75,Compatible composite project,New Taylorburgh,Male,Afghanistan,3/24/2016 6:36,1
44.33,39,48335.2,258.62,Cloned object-oriented benchmark,Westshire,Female,Micronesia,3/15/2016 6:54,1
41.73,31,59886.58,207.17,Optional full-range projection,North Regina,Male,French Polynesia,3/30/2016 14:36,0
71.03,31,40182.84,207.17,Decentralized client-driven data-warehouse,New Marcusbury,Female,Gabon,1/31/2016 6:14,1
89.05,55,38260.89,187.76,Polarized tangible collaboration,Combsstad,Female,Tonga,4/21/2016 9:30,1
55.6,35,73889.99,236.87,Robust uniform framework,Wrightburgh,Female,Myanmar,6/11/2016 6:47,0
42.04,37,67132.46,139.32,Vision-oriented attitude-oriented Internet solution,Lake Danielle,Female,Croatia,5/21/2016 1:36,0
43.49,37,51691.55,217.37,Streamlined homogeneous analyzer,Petersonfurt,Female,Australia,6/17/2016 17:11,1
51.24,36,32549.95,109.07,Operative stable moderator,Youngfort,Male,Algeria,4/27/2016 4:28,0
68.01,33,41547.62,204.02,Customizable tangible hierarchy,New Thomas,Male,Vanuatu,7/9/2016 11:04,0
46.61,29,53431.35,227.37,Synchronized multi-tasking ability,Silvaton,Female,Greece,5/12/2016 21:32,1
82.07,43,52563.22,121.28,Reverse-engineered maximized focus group,North Kimberly,Female,Bangladesh,4/17/2016 21:39,1
63.45,32,57691.95,178.92,Business-focused transitional solution,Lisafort,Male,Latvia,3/31/2016 20:55,0
36.56,46,40468.53,229.12,Front-line system-worthy flexibility,Youngfort,Female,Belgium,4/4/2016 8:19,1
51.56,29,56113.37,208.05,Advanced modular Local Area Network,Wilsonburgh,Female,Burundi,6/19/2016 22:08,0
52.84,42,60514.05,199.43,Virtual 5thgeneration neural-net,Hubbardmouth,Male,Czech Republic,2/15/2016 16:52,1
